ticker,company_name,industry_gp,market_cap
ARB,ARB CORPORATION LIMITED.,Automobiles & Components,2455924573.0
GUD,G.U.D. HOLDINGS LIMITED,Automobiles & Components,1534343239.0
PWH,PWR HOLDINGS LIMITED,Automobiles & Components,1000821945.0
SFC,SCHAFFER CORPORATION LIMITED,Automobiles & Components,227290080.0
AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,72750229.0
VMT,VMOTO LIMITED,Automobiles & Components,43536044.0
RPM,RPM AUTOMOTIVE GROUP LIMITED,Automobiles & Components,15733569.0
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,15558145.0
DDT,DATADOT TECHNOLOGY LIMITED,Automobiles & Components,4843811.0
SIX,SPRINTEX LIMITED,Automobiles & Components,4745972.0
CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks,162308361615.0
NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks,88111201784.0
ANZ,ANZ GROUP HOLDINGS LIMITED,Banks,74741484855.0
WBC,WESTPAC BANKING CORPORATION,Banks,72778256150.0
BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks,4983927838.0
VUK,VIRGIN MONEY UK PLC,Banks,3818780349.0
BOQ,BANK OF QUEENSLAND LIMITED.,Banks,3384669770.0
BFL,BSP FINANCIAL GROUP LIMITED,Banks,2406182892.0
HGH,HEARTLAND GROUP HOLDINGS LIMITED,Banks,1033558315.0
JDO,JUDO CAPITAL HOLDINGS LIMITED,Banks,942905708.0
REH,REECE LIMITED,Capital Goods,11317642851.0
SVW,SEVEN GROUP HOLDINGS LIMITED,Capital Goods,10071320760.0
WOR,WORLEY LIMITED,Capital Goods,8665059823.0
IFT,INFRATIL LIMITED.,Capital Goods,7603474481.0
FBU,FLETCHER BUILDING LIMITED,Capital Goods,3108683076.0
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,Capital Goods,2749529782.0
VNT,VENTIA SERVICES GROUP LIMITED,Capital Goods,2326917690.0
JLG,JOHNS LYNG GROUP LIMITED,Capital Goods,1699340553.0
MND,MONADELPHOUS GROUP LIMITED,Capital Goods,1364547444.0
RDX,REDOX LIMITED,Capital Goods,1218188913.0
SLB,STELAR METALS LIMITED,Class Pend,17025640.0
TRE,TOUBANI RESOURCES INC.,Class Pend,16063880.0
OXT,OREXPLORE TECHNOLOGIES LIMITED,Class Pend,7816626.0
S3N,SENSORE LTD.,Class Pend,7224668.0
HRE,HEAVY RARE EARTHS LIMITED,Class Pend,6144764.0
KLI,KILLI RESOURCES LIMITED,Class Pend,4758004.0
DY6,DY6 METALS LTD,Class Pend,4717500.0
BXB,BRAMBLES LIMITED,Commercial & Professional Services,18686436905.0
CPU,COMPUTERSHARE LIMITED.,Commercial & Professional Services,15129457160.0
ALQ,ALS LIMITED,Commercial & Professional Services,5195119249.0
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services,5103114966.0
DOW,DOWNER EDI LIMITED,Commercial & Professional Services,2592274401.0
APM,APM HUMAN SERVICES INTERNATIONAL LIMITED,Commercial & Professional Services,1916910267.0
IPH,IPH LIMITED,Commercial & Professional Services,1656150682.0
MAD,MADER GROUP LIMITED,Commercial & Professional Services,1340000000.0
MMS,MCMILLAN SHAKESPEARE LIMITED,Commercial & Professional Services,1185324268.0
SIQ,SMARTGROUP CORPORATION LTD,Commercial & Professional Services,1166305954.0
WES,WESFARMERS LIMITED,Consumer Discretionary Distribution & Retail,57882920096.0
JBH,JB HI-FI LIMITED,Consumer Discretionary Distribution & Retail,4972509456.0
HVN,HARVEY NORMAN HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,4473163888.0
PMV,PREMIER INVESTMENTS LIMITED,Consumer Discretionary Distribution & Retail,3648416658.0
APE,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail,3373102383.0
SUL,SUPER RETAIL GROUP LIMITED,Consumer Discretionary Distribution & Retail,2922194910.0
LOV,LOVISA HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,1963498238.0
BAP,BAPCOR LIMITED,Consumer Discretionary Distribution & Retail,1853192250.0
AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail,1072616338.0
BGP,BRISCOE GROUP AUSTRALASIA LIMITED,Consumer Discretionary Distribution & Retail,984624739.0
BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel,3095119010.0
AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,248285850.0
FWD,FLEETWOOD LIMITED,Consumer Durables & Apparel,159340939.0
WAT,WATERCO LIMITED,Consumer Durables & Apparel,147776021.0
AVJ,AVJENNINGS LIMITED,Consumer Durables & Apparel,126642119.0
GLB,GLOBE INTERNATIONAL LIMITED,Consumer Durables & Apparel,126050007.0
TWD,TAMAWOOD LIMITED,Consumer Durables & Apparel,88237488.0
SHM,SHRIRO HOLDINGS LIMITED,Consumer Durables & Apparel,79542928.0
SIO,SIMONDS GROUP LIMITED,Consumer Durables & Apparel,53985968.0
GAP,GALE PACIFIC LIMITED,Consumer Durables & Apparel,52542709.0
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,25319785992.0
LNW,LIGHT & WONDER INC.,Consumer Services,10433206319.0
TLC,THE LOTTERY CORPORATION LIMITED,Consumer Services,10216292117.0
IEL,IDP EDUCATION LIMITED,Consumer Services,6140096815.0
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services,4669144851.0
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,Consumer Services,4052829767.0
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,Consumer Services,2415838066.0
WEB,WEBJET LIMITED,Consumer Services,2327472389.0
TAH,TABCORP HOLDINGS LIMITED,Consumer Services,1848752901.0
IVC,INVOCARE LIMITED,Consumer Services,1823808880.0
WOW,WOOLWORTHS GROUP LIMITED,Consumer Staples Distribution & Retail,42767656855.0
COL,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail,20517542216.0
EDV,ENDEAVOUR GROUP LIMITED,Consumer Staples Distribution & Retail,8883260884.0
MTS,METCASH LIMITED,Consumer Staples Distribution & Retail,3595581047.0
GNC,GRAINCORP LIMITED,Consumer Staples Distribution & Retail,1561385499.0
MMM,MARLEY SPOON SE,Consumer Staples Distribution & Retail,25568382.0
WDS,WOODSIDE ENERGY GROUP LTD,Energy,65905604551.0
STO,SANTOS LIMITED,Energy,25137762718.0
ALD,AMPOL LIMITED,Energy,7804393742.0
YAL,YANCOAL AUSTRALIA LIMITED,Energy,6285291720.0
WHC,WHITEHAVEN COAL LIMITED,Energy,6090453708.0
NXG,NEXGEN ENERGY (CANADA) LTD,Energy,4992933589.0
NHC,NEW HOPE CORPORATION LIMITED,Energy,4657798407.0
VEA,VIVA ENERGY GROUP LIMITED,Energy,4400873804.0
BPT,BEACH ENERGY LIMITED,Energy,3536067167.0
PDN,PALADIN ENERGY LTD,Energy,3043043044.0
GMG,GOODMAN GROUP,Equity Real Estate Investment Trusts (REITs),40262659905.0
SCG,SCENTRE GROUP,Equity Real Estate Investment Trusts (REITs),12820234497.0
URW,UNIBAIL-RODAMCO-WESTFIELD,Equity Real Estate Investment Trusts (REITs),10789610390.0
SGP,STOCKLAND,Equity Real Estate Investment Trusts (REITs),8593817983.0
VCX,VICINITY CENTRES,Equity Real Estate Investment Trusts (REITs),7852674993.0
MGR,MIRVAC GROUP,Equity Real Estate Investment Trusts (REITs),7299841401.0
GPT,GPT GROUP,Equity Real Estate Investment Trusts (REITs),7087636491.0
DXS,DEXUS,Equity Real Estate Investment Trusts (REITs),7077219319.0
CHC,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs),4242784875.0
NSR,NATIONAL STORAGE REIT,Equity Real Estate Investment Trusts (REITs),2721748962.0
MQG,MACQUARIE GROUP LIMITED,Financial Services,61844010175.0
SQ2,BLOCK INC.,Financial Services,36641694317.0
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,Financial Services,12110471804.0
ASX,ASX LIMITED,Financial Services,10982653540.0
JHG,JANUS HENDERSON GROUP PLC,Financial Services,6355760506.0
CGF,CHALLENGER LIMITED,Financial Services,4027771954.0
GQG,GQG PARTNERS INC.,Financial Services,3868175119.0
NWL,NETWEALTH GROUP LIMITED,Financial Services,3152820545.0
AMP,AMP LIMITED,Financial Services,2860816224.0
HUB,HUB24 LIMITED,Financial Services,2503119130.0
TWE,TREASURY WINE ESTATES LIMITED,"Food, Beverage & Tobacco",8734362930.0
A2M,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco",2819445751.0
CGC,COSTA GROUP HOLDINGS LIMITED,"Food, Beverage & Tobacco",1440600358.0
ING,INGHAMS GROUP LIMITED,"Food, Beverage & Tobacco",1419816076.0
ELD,ELDERS LIMITED,"Food, Beverage & Tobacco",935729913.0
BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco",855694948.0
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",759486101.0
RIC,RIDLEY CORPORATION LIMITED,"Food, Beverage & Tobacco",694831969.0
CBO,COBRAM ESTATE OLIVES LIMITED,"Food, Beverage & Tobacco",540505146.0
SHV,SELECT HARVESTS LIMITED,"Food, Beverage & Tobacco",485445243.0
RMD,RESMED INC,Health Care Equipment & Services,33388317927.0
COH,COCHLEAR LIMITED,Health Care Equipment & Services,16007965753.0
SHL,SONIC HEALTHCARE LIMITED,Health Care Equipment & Services,13771530407.0
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care Equipment & Services,11393073691.0
RHC,RAMSAY HEALTH CARE LIMITED,Health Care Equipment & Services,11249182802.0
PME,PRO MEDICUS LIMITED,Health Care Equipment & Services,8189293874.0
EBO,EBOS GROUP LIMITED,Health Care Equipment & Services,6185798164.0
ANN,ANSELL LIMITED,Health Care Equipment & Services,2710402892.0
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,Health Care Equipment & Services,2096818369.0
NAN,NANOSONICS LIMITED,Health Care Equipment & Services,1168065398.0
PTL,PENTAL LIMITED,Household & Personal Products,67331502.0
MCP,MCPHERSON'S LIMITED,Household & Personal Products,59019148.0
BIO,BIOME AUSTRALIA LIMITED,Household & Personal Products,24284753.0
BXN,BIOXYNE LIMITED,Household & Personal Products,22819745.0
S66,STAR COMBO PHARMA LIMITED,Household & Personal Products,14859128.0
HPC,THE HYDRATION PHARMACEUTICALS COMPANY LIMITED,Household & Personal Products,6628545.0
EXL,ELIXINOL WELLNESS LIMITED,Household & Personal Products,5682095.0
SKN,SKIN ELEMENTS LIMITED,Household & Personal Products,3986403.0
CCO,THE CALMER CO INTERNATIONAL LIMITED,Household & Personal Products,3268477.0
HCT,HOLISTA COLLTECH LIMITED,Household & Personal Products,2788001.0
QBE,QBE INSURANCE GROUP LIMITED,Insurance,23529166133.0
SUN,SUNCORP GROUP LIMITED,Insurance,17224762402.0
IAG,INSURANCE AUSTRALIA GROUP LIMITED,Insurance,13888148806.0
MPL,MEDIBANK PRIVATE LIMITED,Insurance,9391151048.0
SDF,STEADFAST GROUP LIMITED,Insurance,5608234233.0
NHF,NIB HOLDINGS LIMITED,Insurance,3501320939.0
AUB,AUB GROUP LIMITED,Insurance,2915027122.0
PSI,PSC INSURANCE GROUP LIMITED,Insurance,1595653780.0
CVW,CLEARVIEW WEALTH LIMITED,Insurance,360266063.0
GDG,GENERATION DEVELOPMENT GROUP LIMITED,Insurance,285915377.0
BHP,BHP GROUP LIMITED,Materials,229056350975.0
FMG,FORTESCUE METALS GROUP LTD,Materials,70385138025.0
NEM,NEWMONT CORPORATION,Materials,67997010713.0
RIO,RIO TINTO LIMITED,Materials,44709281055.0
AMC,AMCOR PLC,Materials,20350432425.0
JHX,JAMES HARDIE INDUSTRIES PLC,Materials,17156317521.0
S32,SOUTH32 LIMITED,Materials,15057457526.0
NST,NORTHERN STAR RESOURCES LTD,Materials,13664239069.0
MIN,MINERAL RESOURCES LIMITED,Materials,11467202645.0
PLS,PILBARA MINERALS LIMITED,Materials,10894254829.0
NWS,NEWS CORPORATION..,Media & Entertainment,19345474008.0
NWSLV,NEWS CORPORATION..,Media & Entertainment,19345474008.0
REA,REA GROUP LTD,Media & Entertainment,19176814048.0
CAR,CARSALES.COM LIMITED.,Media & Entertainment,10526324691.0
SEK,SEEK LIMITED,Media & Entertainment,7398693346.0
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,Media & Entertainment,3024863305.0
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,Media & Entertainment,2160267463.0
EVT,EVT LIMITED,Media & Entertainment,1687663713.0
OML,OOH!MEDIA LIMITED,Media & Entertainment,689640046.0
SWM,SEVEN WEST MEDIA LIMITED,Media & Entertainment,411696379.0
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,8227226337.0
ARG,ARGO INVESTMENTS LIMITED,Not Applic,6333970564.0
MGF,MAGELLAN GLOBAL FUND.,Not Applic,2492028359.0
MXT,METRICS MASTER INCOME TRUST,Not Applic,1783487246.0
WLE,WAM LEADERS LIMITED,Not Applic,1713602005.0
LSF,L1 LONG SHORT FUND LIMITED,Not Applic,1697314202.0
WAM,WAM CAPITAL LIMITED,Not Applic,1654986562.0
MFF,MFF CAPITAL INVESTMENTS LIMITED,Not Applic,1579978229.0
BKI,BKI INVESTMENT COMPANY LIMITED,Not Applic,1348745894.0
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic,1199042866.0
CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",113510575398.0
TLX,TELIX PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2874197008.0
NEU,NEUREN PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",1410884495.0
CUV,CLINUVEL PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",726826072.0
AVH,AVITA MEDICAL INC.,"Pharmaceuticals, Biotechnology & Life Sciences",379427806.0
IMM,IMMUTEP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",374482886.0
AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",335572032.0
MSB,MESOBLAST LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",305326809.0
MYX,MAYNE PHARMA GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",301162980.0
IMU,IMUGENE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",300928944.0
LLC,LENDLEASE GROUP,Real Estate Management & Development,4344683156.0
PXA,PEXA GROUP LIMITED,Real Estate Management & Development,1995193946.0
LIC,LIFESTYLE COMMUNITIES LIMITED,Real Estate Management & Development,1653903972.0
UOS,UNITED OVERSEAS AUSTRALIA LIMITED,Real Estate Management & Development,805898519.0
WTN,WINTON LAND LIMITED,Real Estate Management & Development,720771378.0
QAL,QUALITAS LIMITED,Real Estate Management & Development,689717403.0
PPC,PEET LIMITED,Real Estate Management & Development,555401471.0
CWP,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development,370882881.0
SRV,SERVCORP LIMITED,Real Estate Management & Development,290761164.0
FRI,FINBAR GROUP LIMITED,Real Estate Management & Development,170076964.0
WBT,WEEBIT NANO LTD,Semiconductors & Semiconductor Equipment,649976791.0
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,200921474.0
AXE,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment,107035745.0
BLG,BLUGLASS LIMITED,Semiconductors & Semiconductor Equipment,88626648.0
RVS,REVASUM INC.,Semiconductors & Semiconductor Equipment,18535414.0
PVS,PIVOTAL SYSTEMS CORPORATION,Semiconductors & Semiconductor Equipment,3073517.0
WTC,WISETECH GLOBAL LIMITED,Software & Services,19342286279.0
XRO,XERO LIMITED,Software & Services,16216170397.0
NXT,NEXTDC LIMITED,Software & Services,6155901155.0
ALU,ALTIUM LIMITED,Software & Services,5217706443.0
TNE,TECHNOLOGY ONE LIMITED,Software & Services,4756484765.0
MP1,MEGAPORT LIMITED,Software & Services,1533369383.0
360,LIFE360 INC.,Software & Services,1513932022.0
MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,Software & Services,1507640517.0
SDR,SITEMINDER LIMITED,Software & Services,1133272357.0
DTL,DATA#3 LIMITED,Software & Services,1084475489.0
DDR,DICKER DATA LIMITED,Technology Hardware & Equipment,1919591496.0
CDA,CODAN LIMITED,Technology Hardware & Equipment,1401573553.0
AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,1098698812.0
NVX,NOVONIX LIMITED,Technology Hardware & Equipment,364014595.0
SPZ,SMART PARKING LIMITED,Technology Hardware & Equipment,122623550.0
ERD,EROAD LIMITED,Technology Hardware & Equipment,107086081.0
RWL,RUBICON WATER LIMITED,Technology Hardware & Equipment,98833935.0
DTZ,DOTZ NANO LIMITED,Technology Hardware & Equipment,88721521.0
IKE,IKEGPS GROUP LIMITED,Technology Hardware & Equipment,80012169.0
SMN,STRUCTURAL MONITORING SYSTEMS PLC,Technology Hardware & Equipment,69773406.0
TLS,TELSTRA GROUP LIMITED,Telecommunication Services,44022368215.0
TPG,TPG TELECOM LIMITED.,Telecommunication Services,9575609595.0
SPK,SPARK NEW ZEALAND LIMITED,Telecommunication Services,8421995735.0
CNU,CHORUS LIMITED,Telecommunication Services,2854978395.0
TUA,TUAS LIMITED,Telecommunication Services,957817437.0
ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,937700691.0
HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,Telecommunication Services,407175257.0
SLC,SUPERLOOP LIMITED,Telecommunication Services,294704724.0
SWP,SWOOP HOLDINGS LIMITED,Telecommunication Services,41641787.0
FSG,FIELD SOLUTIONS HOLDINGS LIMITED,Telecommunication Services,37423339.0
TCL,TRANSURBAN GROUP,Transportation,36873789177.0
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,10042798754.0
QAN,QANTAS AIRWAYS LIMITED,Transportation,8536050666.0
ALX,ATLAS ARTERIA,Transportation,7805485344.0
AZJ,AURIZON HOLDINGS LIMITED,Transportation,6332021698.0
QUB,QUBE HOLDINGS LIMITED,Transportation,4805456673.0
AIZ,AIR NEW ZEALAND LIMITED,Transportation,2071605554.0
KLS,KELSIAN GROUP LIMITED,Transportation,1616151246.0
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,Transportation,1343514118.0
FRW,FREIGHTWAYS GROUP LIMITED,Transportation,1228924995.0
ORG,ORIGIN ENERGY LIMITED,Utilities,15625321376.0
MEZ,MERIDIAN ENERGY LIMITED,Utilities,11538053254.0
APA,APA GROUP,Utilities,10610062156.0
AGL,AGL ENERGY LIMITED.,Utilities,7245487699.0
MCY,MERCURY NZ LIMITED,Utilities,7095258919.0
CEN,CONTACT ENERGY LIMITED,Utilities,5638375079.0
GNE,GENESIS ENERGY LIMITED,Utilities,2267490993.0
D2O,DUXTON WATER LIMITED,Utilities,251988954.0
GNX,GENEX POWER LIMITED,Utilities,207776571.0
LGI,LGI LIMITED,Utilities,179236355.0
