ticker,company_name,market_cap,industry_id
ARB,ARB CORPORATION LIMITED.,2455924573.0,1
GUD,G.U.D. HOLDINGS LIMITED,1534343239.0,1
PWH,PWR HOLDINGS LIMITED,1000821945.0,1
SFC,SCHAFFER CORPORATION LIMITED,227290080.0,1
AHL,ADRAD HOLDINGS LIMITED,72750229.0,1
VMT,VMOTO LIMITED,43536044.0,1
RPM,RPM AUTOMOTIVE GROUP LIMITED,15733569.0,1
ABV,ADVANCED BRAKING TECHNOLOGY LTD,15558145.0,1
DDT,DATADOT TECHNOLOGY LIMITED,4843811.0,1
SIX,SPRINTEX LIMITED,4745972.0,1
CBA,COMMONWEALTH BANK OF AUSTRALIA.,162308000000.0,2
NAB,NATIONAL AUSTRALIA BANK LIMITED,88111201784.0,2
ANZ,ANZ GROUP HOLDINGS LIMITED,74741484855.0,2
WBC,WESTPAC BANKING CORPORATION,72778256150.0,2
BEN,BENDIGO AND ADELAIDE BANK LIMITED,4983927838.0,2
VUK,VIRGIN MONEY UK PLC,3818780349.0,2
BOQ,BANK OF QUEENSLAND LIMITED.,3384669770.0,2
BFL,BSP FINANCIAL GROUP LIMITED,2406182892.0,2
HGH,HEARTLAND GROUP HOLDINGS LIMITED,1033558315.0,2
JDO,JUDO CAPITAL HOLDINGS LIMITED,942905708.0,2
REH,REECE LIMITED,11317642851.0,3
SVW,SEVEN GROUP HOLDINGS LIMITED,10071320760.0,3
WOR,WORLEY LIMITED,8665059823.0,3
IFT,INFRATIL LIMITED.,7603474481.0,3
FBU,FLETCHER BUILDING LIMITED,3108683076.0,3
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,2749529782.0,3
VNT,VENTIA SERVICES GROUP LIMITED,2326917690.0,3
JLG,JOHNS LYNG GROUP LIMITED,1699340553.0,3
MND,MONADELPHOUS GROUP LIMITED,1364547444.0,3
RDX,REDOX LIMITED,1218188913.0,3
SLB,STELAR METALS LIMITED,17025640.0,4
TRE,TOUBANI RESOURCES INC.,16063880.0,4
OXT,OREXPLORE TECHNOLOGIES LIMITED,7816626.0,4
S3N,SENSORE LTD.,7224668.0,4
HRE,HEAVY RARE EARTHS LIMITED,6144764.0,4
KLI,KILLI RESOURCES LIMITED,4758004.0,4
DY6,DY6 METALS LTD,4717500.0,4
BXB,BRAMBLES LIMITED,18686436905.0,5
CPU,COMPUTERSHARE LIMITED.,15129457160.0,5
ALQ,ALS LIMITED,5195119249.0,5
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,5103114966.0,5
DOW,DOWNER EDI LIMITED,2592274401.0,5
APM,APM HUMAN SERVICES INTERNATIONAL LIMITED,1916910267.0,5
IPH,IPH LIMITED,1656150682.0,5
MAD,MADER GROUP LIMITED,1340000000.0,5
MMS,MCMILLAN SHAKESPEARE LIMITED,1185324268.0,5
SIQ,SMARTGROUP CORPORATION LTD,1166305954.0,5
WES,WESFARMERS LIMITED,57882920096.0,6
JBH,JB HI-FI LIMITED,4972509456.0,6
HVN,HARVEY NORMAN HOLDINGS LIMITED,4473163888.0,6
PMV,PREMIER INVESTMENTS LIMITED,3648416658.0,6
APE,EAGERS AUTOMOTIVE LIMITED,3373102383.0,6
SUL,SUPER RETAIL GROUP LIMITED,2922194910.0,6
LOV,LOVISA HOLDINGS LIMITED,1963498238.0,6
BAP,BAPCOR LIMITED,1853192250.0,6
AX1,ACCENT GROUP LIMITED,1072616338.0,6
BGP,BRISCOE GROUP AUSTRALASIA LIMITED,984624739.0,6
BRG,BREVILLE GROUP LIMITED,3095119010.0,7
AKP,AUDIO PIXELS HOLDINGS LIMITED,248285850.0,7
FWD,FLEETWOOD LIMITED,159340939.0,7
WAT,WATERCO LIMITED,147776021.0,7
AVJ,AVJENNINGS LIMITED,126642119.0,7
GLB,GLOBE INTERNATIONAL LIMITED,126050007.0,7
TWD,TAMAWOOD LIMITED,88237488.0,7
SHM,SHRIRO HOLDINGS LIMITED,79542928.0,7
SIO,SIMONDS GROUP LIMITED,53985968.0,7
GAP,GALE PACIFIC LIMITED,52542709.0,7
ALL,ARISTOCRAT LEISURE LIMITED,25319785992.0,8
LNW,LIGHT & WONDER INC.,10433206319.0,8
TLC,THE LOTTERY CORPORATION LIMITED,10216292117.0,8
IEL,IDP EDUCATION LIMITED,6140096815.0,8
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,4669144851.0,8
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,4052829767.0,8
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,2415838066.0,8
WEB,WEBJET LIMITED,2327472389.0,8
TAH,TABCORP HOLDINGS LIMITED,1848752901.0,8
IVC,INVOCARE LIMITED,1823808880.0,8
WOW,WOOLWORTHS GROUP LIMITED,42767656855.0,9
COL,COLES GROUP LIMITED.,20517542216.0,9
EDV,ENDEAVOUR GROUP LIMITED,8883260884.0,9
MTS,METCASH LIMITED,3595581047.0,9
GNC,GRAINCORP LIMITED,1561385499.0,9
MMM,MARLEY SPOON SE,25568382.0,9
WDS,WOODSIDE ENERGY GROUP LTD,65905604551.0,10
STO,SANTOS LIMITED,25137762718.0,10
ALD,AMPOL LIMITED,7804393742.0,10
YAL,YANCOAL AUSTRALIA LIMITED,6285291720.0,10
WHC,WHITEHAVEN COAL LIMITED,6090453708.0,10
NXG,NEXGEN ENERGY (CANADA) LTD,4992933589.0,10
NHC,NEW HOPE CORPORATION LIMITED,4657798407.0,10
VEA,VIVA ENERGY GROUP LIMITED,4400873804.0,10
BPT,BEACH ENERGY LIMITED,3536067167.0,10
PDN,PALADIN ENERGY LTD,3043043044.0,10
GMG,GOODMAN GROUP,40262659905.0,11
SCG,SCENTRE GROUP,12820234497.0,11
URW,UNIBAIL-RODAMCO-WESTFIELD,10789610390.0,11
SGP,STOCKLAND,8593817983.0,11
VCX,VICINITY CENTRES,7852674993.0,11
MGR,MIRVAC GROUP,7299841401.0,11
GPT,GPT GROUP,7087636491.0,11
DXS,DEXUS,7077219319.0,11
CHC,CHARTER HALL GROUP,4242784875.0,11
NSR,NATIONAL STORAGE REIT,2721748962.0,11
MQG,MACQUARIE GROUP LIMITED,61844010175.0,12
SQ2,BLOCK INC.,36641694317.0,12
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,12110471804.0,12
ASX,ASX LIMITED,10982653540.0,12
JHG,JANUS HENDERSON GROUP PLC,6355760506.0,12
CGF,CHALLENGER LIMITED,4027771954.0,12
GQG,GQG PARTNERS INC.,3868175119.0,12
NWL,NETWEALTH GROUP LIMITED,3152820545.0,12
AMP,AMP LIMITED,2860816224.0,12
HUB,HUB24 LIMITED,2503119130.0,12
TWE,TREASURY WINE ESTATES LIMITED,8734362930.0,13
A2M,THE A2 MILK COMPANY LIMITED,2819445751.0,13
CGC,COSTA GROUP HOLDINGS LIMITED,1440600358.0,13
ING,INGHAMS GROUP LIMITED,1419816076.0,13
ELD,ELDERS LIMITED,935729913.0,13
BGA,BEGA CHEESE LIMITED,855694948.0,13
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,759486101.0,13
RIC,RIDLEY CORPORATION LIMITED,694831969.0,13
CBO,COBRAM ESTATE OLIVES LIMITED,540505146.0,13
SHV,SELECT HARVESTS LIMITED,485445243.0,13
RMD,RESMED INC,33388317927.0,14
COH,COCHLEAR LIMITED,16007965753.0,14
SHL,SONIC HEALTHCARE LIMITED,13771530407.0,14
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,11393073691.0,14
RHC,RAMSAY HEALTH CARE LIMITED,11249182802.0,14
PME,PRO MEDICUS LIMITED,8189293874.0,14
EBO,EBOS GROUP LIMITED,6185798164.0,14
ANN,ANSELL LIMITED,2710402892.0,14
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,2096818369.0,14
NAN,NANOSONICS LIMITED,1168065398.0,14
PTL,PENTAL LIMITED,67331502.0,15
MCP,MCPHERSON'S LIMITED,59019148.0,15
BIO,BIOME AUSTRALIA LIMITED,24284753.0,15
BXN,BIOXYNE LIMITED,22819745.0,15
S66,STAR COMBO PHARMA LIMITED,14859128.0,15
HPC,THE HYDRATION PHARMACEUTICALS COMPANY LIMITED,6628545.0,15
EXL,ELIXINOL WELLNESS LIMITED,5682095.0,15
SKN,SKIN ELEMENTS LIMITED,3986403.0,15
CCO,THE CALMER CO INTERNATIONAL LIMITED,3268477.0,15
HCT,HOLISTA COLLTECH LIMITED,2788001.0,15
QBE,QBE INSURANCE GROUP LIMITED,23529166133.0,16
SUN,SUNCORP GROUP LIMITED,17224762402.0,16
IAG,INSURANCE AUSTRALIA GROUP LIMITED,13888148806.0,16
MPL,MEDIBANK PRIVATE LIMITED,9391151048.0,16
SDF,STEADFAST GROUP LIMITED,5608234233.0,16
NHF,NIB HOLDINGS LIMITED,3501320939.0,16
AUB,AUB GROUP LIMITED,2915027122.0,16
PSI,PSC INSURANCE GROUP LIMITED,1595653780.0,16
CVW,CLEARVIEW WEALTH LIMITED,360266063.0,16
GDG,GENERATION DEVELOPMENT GROUP LIMITED,285915377.0,16
BHP,BHP GROUP LIMITED,229056000000.0,17
FMG,FORTESCUE METALS GROUP LTD,70385138025.0,17
NEM,NEWMONT CORPORATION,67997010713.0,17
RIO,RIO TINTO LIMITED,44709281055.0,17
AMC,AMCOR PLC,20350432425.0,17
JHX,JAMES HARDIE INDUSTRIES PLC,17156317521.0,17
S32,SOUTH32 LIMITED,15057457526.0,17
NST,NORTHERN STAR RESOURCES LTD,13664239069.0,17
MIN,MINERAL RESOURCES LIMITED,11467202645.0,17
PLS,PILBARA MINERALS LIMITED,10894254829.0,17
NWS,NEWS CORPORATION..,19345474008.0,18
NWSLV,NEWS CORPORATION..,19345474008.0,18
REA,REA GROUP LTD,19176814048.0,18
CAR,CARSALES.COM LIMITED.,10526324691.0,18
SEK,SEEK LIMITED,7398693346.0,18
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,3024863305.0,18
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,2160267463.0,18
EVT,EVT LIMITED,1687663713.0,18
OML,OOH!MEDIA LIMITED,689640046.0,18
SWM,SEVEN WEST MEDIA LIMITED,411696379.0,18
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,8227226337.0,19
ARG,ARGO INVESTMENTS LIMITED,6333970564.0,19
MGF,MAGELLAN GLOBAL FUND.,2492028359.0,19
MXT,METRICS MASTER INCOME TRUST,1783487246.0,19
WLE,WAM LEADERS LIMITED,1713602005.0,19
LSF,L1 LONG SHORT FUND LIMITED,1697314202.0,19
WAM,WAM CAPITAL LIMITED,1654986562.0,19
MFF,MFF CAPITAL INVESTMENTS LIMITED,1579978229.0,19
BKI,BKI INVESTMENT COMPANY LIMITED,1348745894.0,19
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,1199042866.0,19
CSL,CSL LIMITED,113511000000.0,20
TLX,TELIX PHARMACEUTICALS LIMITED,2874197008.0,20
NEU,NEUREN PHARMACEUTICALS LIMITED,1410884495.0,20
CUV,CLINUVEL PHARMACEUTICALS LIMITED,726826072.0,20
AVH,AVITA MEDICAL INC.,379427806.0,20
IMM,IMMUTEP LIMITED,374482886.0,20
AFP,AFT PHARMACEUTICALS LIMITED,335572032.0,20
MSB,MESOBLAST LIMITED,305326809.0,20
MYX,MAYNE PHARMA GROUP LIMITED,301162980.0,20
IMU,IMUGENE LIMITED,300928944.0,20
LLC,LENDLEASE GROUP,4344683156.0,21
PXA,PEXA GROUP LIMITED,1995193946.0,21
LIC,LIFESTYLE COMMUNITIES LIMITED,1653903972.0,21
UOS,UNITED OVERSEAS AUSTRALIA LIMITED,805898519.0,21
WTN,WINTON LAND LIMITED,720771378.0,21
QAL,QUALITAS LIMITED,689717403.0,21
PPC,PEET LIMITED,555401471.0,21
CWP,CEDAR WOODS PROPERTIES LIMITED,370882881.0,21
SRV,SERVCORP LIMITED,290761164.0,21
FRI,FINBAR GROUP LIMITED,170076964.0,21
WBT,WEEBIT NANO LTD,649976791.0,22
4DS,4DS MEMORY LIMITED,200921474.0,22
AXE,ARCHER MATERIALS LIMITED,107035745.0,22
BLG,BLUGLASS LIMITED,88626648.0,22
RVS,REVASUM INC.,18535414.0,22
PVS,PIVOTAL SYSTEMS CORPORATION,3073517.0,22
WTC,WISETECH GLOBAL LIMITED,19342286279.0,23
XRO,XERO LIMITED,16216170397.0,23
NXT,NEXTDC LIMITED,6155901155.0,23
ALU,ALTIUM LIMITED,5217706443.0,23
TNE,TECHNOLOGY ONE LIMITED,4756484765.0,23
MP1,MEGAPORT LIMITED,1533369383.0,23
360,LIFE360 INC.,1513932022.0,23
MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,1507640517.0,23
SDR,SITEMINDER LIMITED,1133272357.0,23
DTL,DATA#3 LIMITED,1084475489.0,23
DDR,DICKER DATA LIMITED,1919591496.0,24
CDA,CODAN LIMITED,1401573553.0,24
AD8,AUDINATE GROUP LIMITED,1098698812.0,24
NVX,NOVONIX LIMITED,364014595.0,24
SPZ,SMART PARKING LIMITED,122623550.0,24
ERD,EROAD LIMITED,107086081.0,24
RWL,RUBICON WATER LIMITED,98833935.0,24
DTZ,DOTZ NANO LIMITED,88721521.0,24
IKE,IKEGPS GROUP LIMITED,80012169.0,24
SMN,STRUCTURAL MONITORING SYSTEMS PLC,69773406.0,24
TLS,TELSTRA GROUP LIMITED,44022368215.0,25
TPG,TPG TELECOM LIMITED.,9575609595.0,25
SPK,SPARK NEW ZEALAND LIMITED,8421995735.0,25
CNU,CHORUS LIMITED,2854978395.0,25
TUA,TUAS LIMITED,957817437.0,25
ABB,AUSSIE BROADBAND LIMITED,937700691.0,25
HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,407175257.0,25
SLC,SUPERLOOP LIMITED,294704724.0,25
SWP,SWOOP HOLDINGS LIMITED,41641787.0,25
FSG,FIELD SOLUTIONS HOLDINGS LIMITED,37423339.0,25
TCL,TRANSURBAN GROUP,36873789177.0,26
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,10042798754.0,26
QAN,QANTAS AIRWAYS LIMITED,8536050666.0,26
ALX,ATLAS ARTERIA,7805485344.0,26
AZJ,AURIZON HOLDINGS LIMITED,6332021698.0,26
QUB,QUBE HOLDINGS LIMITED,4805456673.0,26
AIZ,AIR NEW ZEALAND LIMITED,2071605554.0,26
KLS,KELSIAN GROUP LIMITED,1616151246.0,26
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,1343514118.0,26
FRW,FREIGHTWAYS GROUP LIMITED,1228924995.0,26
ORG,ORIGIN ENERGY LIMITED,15625321376.0,27
MEZ,MERIDIAN ENERGY LIMITED,11538053254.0,27
APA,APA GROUP,10610062156.0,27
AGL,AGL ENERGY LIMITED.,7245487699.0,27
MCY,MERCURY NZ LIMITED,7095258919.0,27
CEN,CONTACT ENERGY LIMITED,5638375079.0,27
GNE,GENESIS ENERGY LIMITED,2267490993.0,27
D2O,DUXTON WATER LIMITED,251988954.0,27
GNX,GENEX POWER LIMITED,207776571.0,27
LGI,LGI LIMITED,179236355.0,27
