industry_name,industry_id
Automobiles & Components,1
Banks,2
Capital Goods,3
Class Pend,4
Commercial & Professional Services,5
Consumer Discretionary Distribution & Retail,6
Consumer Durables & Apparel,7
Consumer Services,8
Consumer Staples Distribution & Retail,9
Energy,10
Equity Real Estate Investment Trusts (REITs),11
Financial Services,12
"Food, Beverage & Tobacco",13
Health Care Equipment & Services,14
Household & Personal Products,15
Insurance,16
Materials,17
Media & Entertainment,18
Not Applic,19
"Pharmaceuticals, Biotechnology & Life Sciences",20
Real Estate Management & Development,21
Semiconductors & Semiconductor Equipment,22
Software & Services,23
Technology Hardware & Equipment,24
Telecommunication Services,25
Transportation,26
Utilities,27
